image_id,image_path,model_id,step_id,view_angle,ground_truth_error_type,ground_truth_affected_parts,predicted_overall_error_type,predicted_part_ids,predicted_part_descriptions,predicted_error_types,error_type_correct,exact_part_match,partial_part_match,all_parts_detected,hallucinated_parts,unknown_part_count,expected_part_count,predicted_part_count,is_composite_error,schema_allows_multiple_parts,prompt_requests_all_parts,expected_state_contains_target,part_library_contains_target,reference_available,failure_category,notes
model03_step01_correct-01_back_01.jpg,input/normal/model03_step01/model03_step01_correct-01_back_01.jpg,model03,step01,back,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step01_correct-01_back_01_parsed_20260701_160745_930673.json
model03_step01_correct-01_bottom_01.jpg,input/normal/model03_step01/model03_step01_correct-01_bottom_01.jpg,model03,step01,bottom,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step01_correct-01_bottom_01_parsed_20260701_160810_416108.json
model03_step01_correct-01_front_01.jpg,input/normal/model03_step01/model03_step01_correct-01_front_01.jpg,model03,step01,front,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step01_correct-01_front_01_parsed_20260701_160835_702481.json
model03_step01_correct-01_left_01.jpg,input/normal/model03_step01/model03_step01_correct-01_left_01.jpg,model03,step01,left,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step01_correct-01_left_01_parsed_20260701_160901_974994.json
model03_step01_correct-01_right_01.jpg,input/normal/model03_step01/model03_step01_correct-01_right_01.jpg,model03,step01,right,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step01_correct-01_right_01_parsed_20260701_160924_469868.json
model03_step01_correct-01_top_01.jpg,input/normal/model03_step01/model03_step01_correct-01_top_01.jpg,model03,step01,top,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step01_correct-01_top_01_parsed_20260701_160949_555409.json
model03_step02_correct-01_back_01.jpg,input/normal/model03_step02/model03_step02_correct-01_back_01.jpg,model03,step02,back,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step02_correct-01_back_01_parsed_20260701_161012_906459.json
model03_step02_correct-01_bottom_01.jpg,input/normal/model03_step02/model03_step02_correct-01_bottom_01.jpg,model03,step02,bottom,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step02_correct-01_bottom_01_parsed_20260701_161031_954144.json
model03_step02_correct-01_front_01.jpg,input/normal/model03_step02/model03_step02_correct-01_front_01.jpg,model03,step02,front,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step02_correct-01_front_01_parsed_20260701_161047_105757.json
model03_step02_correct-01_left_01.jpg,input/normal/model03_step02/model03_step02_correct-01_left_01.jpg,model03,step02,left,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step02_correct-01_left_01_parsed_20260701_161100_619020.json
model03_step02_correct-01_right_01.jpg,input/normal/model03_step02/model03_step02_correct-01_right_01.jpg,model03,step02,right,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step02_correct-01_right_01_parsed_20260701_161121_207601.json
model03_step02_correct-01_top_01.jpg,input/normal/model03_step02/model03_step02_correct-01_top_01.jpg,model03,step02,top,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step02_correct-01_top_01_parsed_20260701_161145_044813.json
model03_step03_correct-01_back_01.jpg,input/normal/model03_step03/model03_step03_correct-01_back_01.jpg,model03,step03,back,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step03_correct-01_back_01_parsed_20260701_161208_479711.json
model03_step03_correct-01_back_02.jpg,input/normal/model03_step03/model03_step03_correct-01_back_02.jpg,model03,step03,back,correct,,positionerror,LINK_BLUE_5HOLE;BLOCK_YELLOW_CUBE;PIN_RED_SHORT,The part is incorrectly positioned compared to the reference image. | The part is incorrectly positioned compared to the reference image. | Multiple pins are incorrectly positioned compared to the reference image.,positionerror;positionerror;positionerror,False,False,False,True,BLOCK_YELLOW_CUBE;LINK_BLUE_5HOLE;PIN_RED_SHORT,0,0,3,False,True,False,,,True,error_type_mismatch,label_source=filename and source directory; review_required=false; source_log=model03_step03_correct-01_back_02_parsed_20260701_161238_770668.json
model03_step03_correct-01_back_03.jpg,input/normal/model03_step03/model03_step03_correct-01_back_03.jpg,model03,step03,back,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step03_correct-01_back_03_parsed_20260701_161302_962734.json
model03_step03_correct-01_bottom_01.jpg,input/normal/model03_step03/model03_step03_correct-01_bottom_01.jpg,model03,step03,bottom,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step03_correct-01_bottom_01_parsed_20260701_161333_035013.json
model03_step03_correct-01_front_01.jpg,input/normal/model03_step03/model03_step03_correct-01_front_01.jpg,model03,step03,front,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step03_correct-01_front_01_parsed_20260701_161347_889722.json
model03_step03_correct-01_left_01.jpg,input/normal/model03_step03/model03_step03_correct-01_left_01.jpg,model03,step03,left,correct,,correct,,,,True,True,True,True,,0,0,0,False,True,False,,,True,match,label_source=filename and source directory; review_required=false; source_log=model03_step03_correct-01_left_01_parsed_20260701_161421_329142.json
